id,sigma_N_per_m,mu_Pa_s,rho_kg_per_m3,Dn_mm,outcome,R_m,R_std_m,Vi_m_per_s,Vi_std_m_per_s,Vo_m_per_s,Vo_std_m_per_s,ho_m,cor,We,Bo,Oh,cor_from_velocities
164,0.0187,0.00174,870,0.6,b,0.00015050903590328854,7.430040376971911e-07,0.1352885753752298,1.6217063611205503e-05,0.05667443529019147,1.0324569446499415e-05,0.0001517121252049966,0.4204516262670038,0.12816294168038356,0.01033883968490375,0.03516313044548944,0.4189151606704558
165,0.0187,0.00174,870,0.6,b,0.0001508913188282514,1.9219238947463093e-07,0.05440236383476395,1.1404662348038734e-05,0.020420209061542665,2.7328093401828945e-05,0.00016052779634975775,0.45251960404565555,0.020776741753948585,0.010391426311608973,0.035118559328829985,0.37535517985146516
166,0.0187,0.00174,870,0.6,b,0.00015256312938491468,8.312596693197548e-07,0.1323837138664591,1.8829136951239624e-05,0.05543580246424034,9.749278480609496e-06,0.00015504522469018595,0.4220557768833381,0.12439311848918432,0.010622966949130518,0.03492561196183913,0.4187509236986712
167,0.0187,0.00174,870,0.6,b,0.00015338102900441683,1.4111631925230994e-07,0.05294439146271691,2.3039291161636868e-05,0.0185406958093546,2.3505058706474743e-05,0.00016191473849411862,0.42704210392889724,0.020002727336887554,0.010737172923897607,0.03483236761425227,0.3501918767431832
168,0.0187,0.00174,870,0.6,b,0.0003217734513534057,1.056067446979561e-06,0.6639768917536004,0.00022698376832907483,0.15648765649270188,5.043689844344136e-05,0.000809741116433679,0.27796114869522337,6.599845740653311,0.04725492421971437,0.024048816818253726,0.23568238358327373
169,0.0187,0.00174,870,0.6,b,0.00032320341944723453,1.1176923522922828e-06,0.18121293767149785,1.902130518492647e-05,-0.0005054556044905211,3.407974935594469e-05,0.00042231178421545015,0.24335707943622056,0.4937782937711686,0.04767586125867131,0.02399555753877067,-0.002789290935765355
170,0.0187,0.00174,870,0.6,b,0.0003183635647971741,4.102211884847803e-07,0.6585686954277873,0.0005719449386034096,0.18481316618162394,4.40170379197728e-05,0.0003707705489070066,0.2848212145920298,6.4239650733474765,0.04625869442721624,0.024177263248061236,0.28062853194316295
171,0.0187,0.00174,870,0.6,b,0.00032120569173542905,1.1429091422163638e-06,0.1824743521404696,2.108432841261331e-05,0.04295201191192927,5.873079268848269e-06,0.00032228828059875696,0.23673771712262887,0.4975818600223202,0.047088311543994316,0.02407006164530063,0.23538657026640444
172,0.0187,0.00174,870,0.6,b,0.00032389123672813957,1.0963371189815369e-06,0.665822211787346,0.00024378227038622402,0.1846727569244482,4.6124412083992744e-05,0.0003773562250963419,0.28159373038828933,6.680260557735011,0.04787899756427636,0.02397006544624426,0.2773604629811149
173,0.0187,0.00174,870,0.6,b,0.0003253822214844811,1.1707939198127297e-06,0.1826695355240464,2.1873176063170745e-05,0.042435606083901234,9.766852162578332e-06,0.00032797817049773294,0.23557040836154247,0.5051306427815715,0.04832081973633764,0.02391508389652326,0.23230806364159753
