id,sigma_N_per_m,mu_Pa_s,rho_kg_per_m3,Dn_mm,outcome,R_m,R_std_m,Vi_m_per_s,Vi_std_m_per_s,Vo_m_per_s,Vo_std_m_per_s,ho_m,cor,We,Bo,Oh,cor_from_velocities
338,0.0187,0.00174,870,0.2,b,9.143975742284873e-05,7.805718760522019e-07,0.18056828901160618,5.115347046001645e-05,0.07477252744683133,2.8966665919248804e-05,0.00010361532793039824,0.4228496,0.13870614,0.00381607,0.04511296,0.41409556
339,0.0187,0.00174,870,0.2,b,9.16982706172234e-05,8.02700944750643e-07,0.07072005936752512,2.0261032312934532e-05,0.029832395975593982,4.679447993480982e-05,0.00010149073663026691,0.46514793,0.02133654,0.00383768,0.04504932,0.42183782
340,0.0187,0.00174,870,0.2,b,8.060248428911417e-05,4.2015466820082e-06,0.09696257949458766,5.3327661885949484e-05,0.02559563822050174,0.00043072813375491287,0.00014041815957779652,0.44103136,0.03525611,0.00296513,0.04805013,0.26397439
341,0.0187,0.00174,870,0.2,b,8.48113545300409e-05,1.4649368373471e-06,0.19990549989802264,2.42052484967317e-05,0.08339455185505443,2.3503377461439145e-05,9.152035638229937e-05,0.42109925,0.15768164,0.00328288,0.04684269,0.41716987
342,0.0187,0.00174,870,0.2,b,8.443282674806234e-05,3.52740011537131e-06,0.07618789763837967,1.771881137239703e-05,0.033021932072582104,2.7146984995874484e-05,9.2130853317819e-05,0.46247094,0.02280137,0.00325364,0.04694757,0.43342753
343,0.0187,0.00174,870,0.2,b,8.67400190843095e-05,2.821028653313657e-07,0.08730617088881888,2.772130877474488e-05,0.03715661025591399,3.5655717108539186e-05,9.519547019676157e-05,0.45043422,0.03076005,0.00343388,0.04631899,0.42558974
344,0.0187,0.00174,870,0.2,b,9.34204186792047e-05,4.55290614632803e-06,0.11728535130206638,1.835339291460121e-05,0.05185557653708216,1.64698702351427e-05,9.986734491445232e-05,0.45241103,0.05978703,0.00398318,0.04463216,0.44213174
345,0.0187,0.00174,870,0.2,b,7.668661099215939e-05,1.654698815665e-06,0.10423716428746567,1.9947581371056044e-05,0.04422640625102295,3.862221738146537e-05,9.446584081209426e-05,0.46056864,0.03876523,0.00268402,0.04926166,0.42428635
346,0.0187,0.00174,870,0.2,b,8.538729655800821e-05,5.495898465638524e-07,0.10584156903448959,1.812596389736464e-05,0.04630064658505068,2.778298877569192e-05,9.107660653095908e-05,0.44869686,0.0445024,0.00332762,0.04668444,0.43745238
347,0.0187,0.00174,870,0.2,b,8.449825858194701e-05,5.495262436104716e-07,0.11535509453392752,1.9333137778264725e-05,0.04982633738066256,2.6839355072886236e-05,9.154614036288818e-05,0.44380484,0.05231172,0.00325868,0.04692939,0.43193877
348,0.0187,0.00174,870,0.2,b,8.123103026123248e-05,9.83282334384302e-07,0.11030881146501698,1.7717000255879878e-05,0.047675139973575795,2.2193416610600323e-05,8.747077888010008e-05,0.44368387,0.04598541,0.00301155,0.04786387,0.43219702
349,0.0187,0.00174,870,0.2,b,8.281318078246038e-05,5.915721638958466e-07,0.29821122478027723,3.664943576072833e-05,0.10464914356821109,3.706602463792249e-05,9.242703215881607e-05,0.35393207,0.34262976,0.00313001,0.04740445,0.35092289
350,0.0187,0.00174,870,0.2,b,8.21895893174054e-05,7.37305566286957e-06,0.09820798874439003,1.8676613570988754e-05,0.04433346226850273,7.84131849762788e-05,9.049136428166833e-05,0.4697571,0.03687976,0.00308305,0.04758394,0.4514242
351,0.0187,0.00174,870,0.2,b,8.66527323961204e-05,5.851081609191597e-07,0.3299640997006746,5.366725782578295e-05,0.11309111171790104,2.8438737294922727e-05,9.732269038146021e-05,0.34553126,0.438928,0.00342698,0.04634231,0.34273762
352,0.0187,0.00174,870,0.2,b,8.527146538247975e-05,6.245858188653402e-07,0.10397455986336498,1.9361270326809016e-05,0.046422363929177604,0.00013467510296543412,9.224694185367964e-05,0.46043703,0.04288798,0.00331859,0.04671614,0.4464781
353,0.0187,0.00174,870,0.2,b,8.398408544646432e-05,6.248883003422859e-07,0.2837068286012908,3.991934375937967e-05,0.10360885440296055,2.9207056923963573e-05,0.00010185201159272355,0.37111215,0.31449534,0.00321915,0.04707283,0.3651969
354,0.0187,0.00174,870,0.2,b,8.234347394469964e-05,6.365428103379102e-07,0.09576652589279612,2.127744164843108e-05,0.03978323531847843,7.452476070254015e-05,0.00010379241467450968,0.46739561,0.03513454,0.0030946,0.04753946,0.41541901
355,0.0187,0.00174,870,0.2,b,8.533078386158428e-05,7.292142737549105e-07,0.2674976189880654,3.3147399565533e-05,0.09607606562930769,3.384784553236818e-05,0.00010040810475633828,0.36487584,0.28406859,0.00332321,0.0466999,0.35916606
356,0.0187,0.00174,870,0.2,b,8.460077344791453e-05,8.342698078161798e-07,0.0929753223151626,2.1772176039867404e-05,0.04012664844415099,1.8831003640372383e-05,9.50835473835349e-05,0.45831988,0.03402416,0.0032666,0.04690095,0.43158386
357,0.0187,0.00174,870,0.2,b,8.208325320311793e-05,5.662872163790321e-07,0.3732016456116059,5.354986151718173e-05,0.1194152708350623,4.203913464210916e-05,9.215431474632607e-05,0.32218445,0.53188692,0.00307508,0.04761475,0.3199752
358,0.0187,0.00174,870,0.2,b,8.1448851127712e-05,6.280433692766296e-07,0.11165768000710694,1.9724272640923956e-05,0.04809604983475134,3.002865195369688e-05,9.490855875678511e-05,0.45466831,0.04724325,0.00302773,0.04779983,0.43074556
359,0.0187,0.00174,870,0.2,b,8.690939530997149e-05,5.564624399791449e-07,0.29010683113132485,3.7061665396096346e-05,0.10206655304860732,3.566286140525553e-05,9.332075787141692e-05,0.35394177,0.3402987,0.00344731,0.04627383,0.35182403
360,0.0187,0.00174,870,0.2,b,8.595416303172188e-05,4.655462638790582e-07,0.09755275774598328,2.011640922215278e-05,0.042155526184634654,2.2334639260995186e-05,8.97566628373038e-05,0.44110806,0.03805605,0.00337195,0.04653025,0.43213054
361,0.0187,0.00174,870,0.2,b,7.988153429724793e-05,4.813091564782156e-07,0.29536208741301534,4.183876216563935e-05,0.10371839024403527,4.354840779065511e-05,8.973199527292435e-05,0.35429709,0.32421533,0.00291232,0.04826648,0.35115675
362,0.0187,0.00174,870,0.2,b,7.89130472823641e-05,5.35401380935201e-07,0.0984871009167611,2.2573722885324495e-05,0.042372080338469856,4.3803745564648085e-05,8.919962740978611e-05,0.45376726,0.03561108,0.00284213,0.04856176,0.43022975
363,0.0187,0.00174,870,0.2,b,9.072923732726662e-05,4.7209943884862074e-07,0.26649252558696285,4.422979431987795e-05,0.09589556344525772,3.039745325116214e-05,9.93658598539719e-05,0.36314357,0.2997747,0.003757,0.04528926,0.35984335
364,0.0187,0.00174,870,0.2,b,9.064905522059649e-05,5.089985353697385e-07,0.09412547516372435,1.8230845704206304e-05,0.040068732266254015,2.115079650931622e-05,9.562253412180852e-05,0.43844056,0.03736417,0.00375036,0.04530928,0.42569487
365,0.0187,0.00174,870,0.2,b,8.033689304590932e-05,3.9467363251694047e-07,0.4792783178254127,7.528552179631081e-05,0.1368818977696308,4.208010556372488e-05,0.000101986475630792,0.28881919,0.85855524,0.00294562,0.04812949,0.28560002
366,0.0187,0.00174,870,0.2,b,8.025949534406835e-05,4.303795005603814e-07,0.12843102623315086,3.7490888486558836e-05,0.05351843991521179,2.1826476030132217e-05,8.900558165113637e-05,0.42901075,0.06159053,0.00293995,0.0481527,0.41670959
367,0.0187,0.00174,870,0.2,b,8.552590108673262e-05,5.708220900369794e-07,0.30879166401597663,5.171799118655697e-05,0.1062111385059905,3.755378678566115e-05,9.254172652171843e-05,0.34604942,0.37940796,0.00333843,0.0466466,0.34395727
368,0.0187,0.00174,870,0.2,b,8.462493937139062e-05,4.608173039487789e-07,0.10158313878590201,2.1765542129411732e-05,0.044229579006079406,2.7132798071758707e-05,9.289060221986335e-05,0.45309078,0.04062742,0.00326846,0.04689425,0.43540276
369,0.0187,0.00174,870,0.2,b,8.332654405984647e-05,5.303015325372143e-07,0.3048267879459548,3.722360878352515e-05,0.10519599442146056,3.7367257184832455e-05,9.922141036203915e-05,0.34992976,0.36021955,0.00316894,0.0472582,0.34510089
370,0.0187,0.00174,870,0.2,b,8.263280908032433e-05,4.729778475474434e-07,0.1009414167086747,2.182116575703492e-05,0.043021872594052525,2.4969213696883713e-05,9.076247070301438e-05,0.44419153,0.03917139,0.00311639,0.04745616,0.42620635
371,0.0187,0.00174,870,0.2,b,7.81681310641072e-05,5.167187734353133e-07,0.32668755092115803,3.432133227511445e-05,0.11212512128271217,3.969947236389576e-05,8.109938765657499e-05,0.34400236,0.38812583,0.00278873,0.0487926,0.34321822
372,0.0187,0.00174,870,0.2,b,7.816917721511138e-05,4.0927413397411555e-07,0.10624746485425908,2.6300748445377478e-05,0.043403880755095485,1.9913438144229252e-05,8.542953353246952e-05,0.42368016,0.04105351,0.0027888,0.04879227,0.40851686
