source,series,t_over_tsigma,rc_over_R,We,Oh,Bo
km_model,km_model,3.484932541845702,0.20966262054572551,0.0231,0.03,0.02
km_model,km_model,3.4852985070897393,0.20966785073670074,0.0231,0.03,0.02
km_model,km_model,3.4856644723337773,0.20967307167381052,0.0231,0.03,0.02
km_model,km_model,3.486030437577815,0.20967828334549166,0.0231,0.03,0.02
km_model,km_model,3.486396402821853,0.20755479236837351,0.0231,0.03,0.02
km_model,km_model,3.4867623680658903,0.20755997809002524,0.0231,0.03,0.02
km_model,km_model,3.4871283333099283,0.20756515453216268,0.0231,0.03,0.02
km_model,km_model,3.487494298553966,0.2075703217046214,0.0231,0.03,0.02
km_model,km_model,3.4878602637980034,0.20757547962044431,0.0231,0.03,0.02
km_model,km_model,3.4882262290420414,0.20758062829570043,0.0231,0.03,0.02
km_model,km_model,3.488592194286079,0.20758576774931012,0.0231,0.03,0.02
km_model,km_model,3.488958159530117,0.2075908980028784,0.0231,0.03,0.02
km_model,km_model,3.4893241247741544,0.2075960190805345,0.0231,0.03,0.02
km_model,km_model,3.4896900900181924,0.207601131008779,0.0231,0.03,0.02
km_model,km_model,3.49005605526223,0.20760623381633703,0.0231,0.03,0.02
km_model,km_model,3.490422020506268,0.20761132753401834,0.0231,0.03,0.02
km_model,km_model,3.4907879857503055,0.20761641219458335,0.0231,0.03,0.02
km_model,km_model,3.4911539509943434,0.20762148783261555,0.0231,0.03,0.02
km_model,km_model,3.491519916238381,0.20762655448439984,0.0231,0.03,0.02
km_model,km_model,3.4918858814824194,0.20763161218780585,0.0231,0.03,0.02
km_model,km_model,3.492251846726457,0.20763666098217798,0.0231,0.03,0.02
km_model,km_model,3.492617811970495,0.20764170090822945,0.0231,0.03,0.02
km_model,km_model,3.4929837772145325,0.20551698087211911,0.0231,0.03,0.02
km_model,km_model,3.4933497424585704,0.20552199989723244,0.0231,0.03,0.02
km_model,km_model,3.493715707702608,0.20552701026436812,0.0231,0.03,0.02
km_model,km_model,3.494081672946646,0.20553201202105276,0.0231,0.03,0.02
km_model,km_model,3.4944476381906835,0.20553700521560503,0.0231,0.03,0.02
km_model,km_model,3.4948136034347215,0.20554198989706224,0.0231,0.03,0.02
km_model,km_model,3.495179568678759,0.2055469661151114,0.0231,0.03,0.02
km_model,km_model,3.495545533922797,0.2055519339200233,0.0231,0.03,0.02
km_model,km_model,3.4959114991668345,0.2055568933625904,0.0231,0.03,0.02
km_model,km_model,3.4962774644108725,0.20556184449406836,0.0231,0.03,0.02
km_model,km_model,3.49664342965491,0.20556678736612025,0.0231,0.03,0.02
km_model,km_model,3.4970093948989476,0.20557172203076435,0.0231,0.03,0.02
km_model,km_model,3.4973753601429856,0.20557664854032437,0.0231,0.03,0.02
km_model,km_model,3.497741325387023,0.20558156694738317,0.0231,0.03,0.02
km_model,km_model,3.498107290631061,0.20558647730473809,0.0231,0.03,0.02
km_model,km_model,3.4984732558750986,0.20559137966536006,0.0231,0.03,0.02
km_model,km_model,3.4988392211191366,0.20559627408235417,0.0231,0.03,0.02
km_model,km_model,3.499205186363174,0.2034704678343119,0.0231,0.03,0.02
km_model,km_model,3.499571151607212,0.2034753475411783,0.0231,0.03,0.02
km_model,km_model,3.4999371168512496,0.20348021957700746,0.0231,0.03,0.02
km_model,km_model,3.5003030820952876,0.20348508399567636,0.0231,0.03,0.02
km_model,km_model,3.500669047339325,0.20348994085097494,0.0231,0.03,0.02
km_model,km_model,3.5010350125833627,0.20349479019658198,0.0231,0.03,0.02
km_model,km_model,3.5014009778274007,0.20349963208604202,0.0231,0.03,0.02
km_model,km_model,3.501766943071438,0.20350446657274412,0.0231,0.03,0.02
km_model,km_model,3.502132908315476,0.20350929370990217,0.0231,0.03,0.02
km_model,km_model,3.5024988735595137,0.2035141135505361,0.0231,0.03,0.02
km_model,km_model,3.5028648388035517,0.2035189261474548,0.0231,0.03,0.02
